sample_id,data_name,start,end,predicted_text,target_text
data19_15,data19,115.45,116.09,Cái gì vậy ta?,Hay quá vậy ta.
data19_16,data19,116.71,125.43,Vì là Cường là một người có trực giác tốt. Nhìn được xoáy vào bên trong người khác và thấy người ta đang nghĩ gì. Nhìn thấu được tâm can của một anh.,Vậy là Cuong là một người có trực giác tốt. Nhìn được xoáy vào bên trong người khác. Và thấy người ta đang nghĩ gì. Nhìn thấu được tâm can của Ngọc Anh.
data19_17,data19,126.15,128.97,May qua tâm can của tôi thật là trong trắng.,May quá tâm can của tôi thật là trong trắng.
data19_18,data19,128.98,130.27,Không trông chẳng tí nào.,Không trông trắng tí nào.
data19_19,data19,132.06,133.49,Để lát nữa chúng ta.,Để lát nữa chúng ta cùng biết.
data19_20,data19,133.21,136.09,"Ờ đúng rồi, không biết chẳng tí nào tí em sẽ bật mí cho mọi người nha.","Đúng rồi, không trông trắng tí nào tí nữa sẽ bật mí cho mọi người nha."
data19_21,data19,136.09,141.51,"Giới thiệu một tí, mình đang đứng ở Oculus Board 54, vỏ bằng tần.",Giới thiệu một tí. Mình đang đứng ở Oculus Bar 54 Võ Văn Tần.
data19_22,data19,141.43,142.46,Đẹp quá.,Đẹp quá.
data19_23,data19,141.71,146.09,Dustin chọn món này rất là chill mà hợp được vai và tới luôn.,Hôm nay Dustin chọn món này rất là chill mà hợp cả vai bọn tớ luôn.
data19_24,data19,146.08,149.05,Ở đây cái biểu tượng Oculus là con mắt.,Ở đây cái biểu tượng Oculus là con mắt á.
data19_25,data19,149.08,157.82,Cho nên là những cái thiết kế như cầu bà nó cũng hình tròn người bartender là cái tâm và khách sẽ ngồi xung quanh và nhìn được họ.,Cho nên là những cái thiết kế như quầy bar nó cũng hình tròn. Người bartender là cái tâm. Và khách sẽ ngồi xung quanh và nhìn được họ.
data19_26,data19,157.71,160.64,Họ giống như vừa là sân khấu mà vừa là quầy bar.,Vì họ giống như là vừa là sân khấu vừa là quầy bar.
data19_27,data19,160.64,161.8,Không hợp lý.,Cũng hợp lý.
data19_28,data19,161.8,162.82,Riêng tư nhỉ.,Riêng tư nhờ.
data19_29,data19,162.83,166.97,Sau đây nó có một cái quầy ba khác. Thì biểu tượng theo mình hiểu là của hàng my.,Sau đây nó có một cái quầy bar khác. Biểu tượng theo mình hiểu là của hàng My.
data19_30,data19,166.94,173.68,Sắp tới cũng có một cái gọi là pairing food and drink. Vừa có đồ ăn luôn.,Sắp tới cũng có một cái gọi là pairing food and drinks. Vừa có đồ ăn luôn.
data19_31,data19,173.68,175.62,Là kết hợp đồ ăn đồ uống luôn.,Dạ là kết hợp đồ ăn đồ uống luôn.
data19_32,data19,175.6,182.64,Để có được một cái buổi tối chi chiêu thì nhiệm vụ chương trình là phải tự tay thực hiện 2 cái món nước.,Có được một cái buổi tối chill chill thì nhiệm vụ chương trình là phải tự tay thực hiện hai cái món nước.
data19_33,data19,183.01,188.19,Là hôm nay mình tự làm luôn hả? À ở nhà vợ cũng hay pha mấy cái rượu ngâm của cậu.,Là hôm nay mình tự làm luôn hả? Đúng. À ở nhà vợ cũng hay pha mấy cái rượu ngâm của cậu á.
data19_34,data19,188.14,194.33,"Không, nhưng mà đừng, đừng uống bánh. Uống cái dưỡng ông nó bánh là rất nguy hiểm. Tôi kể bạn một lần mà kiểu thảm họa.",Không nhưng mà đừng uống rượu ngâm nó là rất nguy hiểm. Tôi kể cho bạn một lần mà kiểu thảm họa Ngọc Anh.
data19_35,data19,194.6,203.69,Ý là bà này mang rượu ngâm của nhà bà ngoại ngọc anh đi cho cả đoàn phim uống. Mà lúc mà tôi đang ngồi với bạn. Tại vì là hôm ấy tôi không có mời.,Ý là bà này mang rượu ngâm của nhà bà ngoại Ngọc Anh đi cho cả đoàn phim uống. Mà lúc này tớ đang ngồi với bạn. Tại vì là hôm nay tớ không được mời.
data19_36,data19,204.19,210.38,Nhưng mà tôi đang ngồi với bạn. Có một cuộc gọi là đúng hai câu thôi. Đón vợ. Đón vợ.,"Nhưng mà nhưng mà tớ đang ngồi với bạn. Có một cuộc gọi là đúng hai câu thôi. Đón vợ, đón vợ."
data19_37,data19,211.3,214.57,Ê lúc đấy xong là không còn biết cái gì nữa luôn ấy. Tôi ước mất đi.,Thề lúc đấy xong là không còn biết cái gì nữa luôn đấy. Tớ ương mất đi.
data19_38,data19,214.55,222.51,Đây đây bạn bạn phải kể tới đây tôi kể tới bạn tôi vẫn bây giờ tôi vẫn còn cái hình ảnh đấy là đó vỡ một phát là là sập máy.,"Đây đây bạn bạn phải kể tớ, để tớ kể với bạn. Bây giờ tớ vẫn còn cái hình ảnh đấy. Là đón vợ một phát là. Sập máy."
data19_39,data19,222.45,230.59,Mình đang ngồi với cả bạn bè của mình. Tức là mình tức tốc mình đứng dậy đi luôn. Mà bạn biết tờ đến đấy là ngay bên.,Mình đang ngồi với cả bạn bè của mình. Tự nhiên mình tức tốc mình đứng dậy mình đi luôn. Mà bạn biết tớ đến đấy là ngay bên quận 2.
data19_40,data19,231.06,234.85,Sắp mời thấy là bà này đang làm một số ở đấy.,Xong rồi thấy là bà này đang nằm một xó ở đấy luôn.
data19_41,data19,234.87,235.69,Không có đâu.,Một xó đâu
data19_42,data19,235.69,239.53,Ngoài đường luôn ngằm một cái ghế mà mọi người phải khênh bài ra bài tự nhiên bật.,Ngay ngoài đường luôn. Nằm một cái ghế mà mọi người phải khênh bà ấy ra. Bà ấy tự nhiên bật dậy.
data19_43,data19,239.86,245.44,Ê tôi không say tôi đi được. Vào xe ô tô phát. Vào đôn hết cả xe ô tô. Không biết đâu.,Tôi không say tôi đi được. Vào xe ô tô phát. Nôn hết cả xe ô tô.
data19_44,data19,245.49,247.77,Chúng ta mới bắt đầu chương trình nôn.,Chúng ta mới bắt đầu chương trình thôi.
data19_45,data19,248.72,256.53,Từ lúc mà ở trên cái chức quận 2 về lại Vinhome đỡ mãi bà ra xe thì bà lại đứng ở đằng sau đi xe bà.,"Nôn từ lúc mà ở trên cái chỗ quận 2 về lại vinhome, đỡ mãi bả mới ra xe thì bà lại đứng ở đằng sau xe bả nôn tiếp."
data19_46,data19,250.73,251.89,Ở trên cái chức quận 2 tháng 2 năm 2002.,Tôi không nên ở chỗ này.
data19_47,data19,256.41,261.05,"Thôi chúng ta hãy quên đi, chúng ta phải làm một cái ly rượu để trôi đi được cái sâu đấy.","Thôi chúng ta hãy quên đi, chúng ta phải làm một cái ly rượu để trôi đi được cái sự đấy."
data19_48,data19,259.85,264.15,Nhưng mà sau cái thời gian đấy mới rõ là thấy rất ít uống.,"Nhưng mà sau sau cái đợt đấy, cái thời gian đấy đến bây giờ là thấy rất ít uống rượu."
data19_49,data19,264.93,267.25,Sợ. Em bị sợ luôn á.,Sợ. Ê bị sợ luôn á.
data19_50,data19,267.05,275.31,Ngày xưa hồi đầu mà tôi quen với ngọc anh là bà này là bà đi chơi với bạn bà ấy uống rượu là đến tầm 2-3 giờ sáng.,Ngày xưa hồi đầu mà tôi quen Ngọc Anh ấy là bà này là bà đi chơi với bạn bà ấy uống rượu là đến tầm 2-3 giờ sáng mới về.
data19_51,data19,267.96,269.14,"Mà tôi quen, quen không biết cái chuyện đó bao giờ. Quen không quen.",Bị sợ luôn
data19_52,data19,276.11,284.73,Thôi mình pha chế rượu đi mọi người. Đang ở đây đang ngồi những ly rượu rất an toàn đang ở đây. Mình nên pha chế rượu đi mọi người.,"Thôi mình pha chế rượu đi mọi người. Đang ở đây đang có những ly rượu rất an toàn, đang ở đây mình nên pha chén rượu đi."
data19_53,data19,279.02,280.93,"Đang ở đây, đang ở đây.",Mình hiểu được một chút thông tin rồi.
data19_54,data19,284.33,286.87,Ở nhà mình không có gì ngoài rượu.,Nhà mình không có gì ngoài rượu.
data19_55,data19,289.94,295.78,Tớ nghĩ là một từng người sẽ làm. Flicker là cái món bên này. Ai muốn làm ly đó.,"Tớ nghĩ là một từng người sẽ làm, Flicker là cái món bên này, ai muốn làm ly đó."
data19_56,data19,295.78,297.91,Và mình làm ly này.,Vợ muốn làm ly này.
data19_57,data19,298.5,299.44,Cũng được.,Cũng được.
data19_58,data19,299.43,300.82,Cũng thấy hồi hợp dùm luôn.,Tớ cũng thấy hồi hộp dùm luôn á.
data19_59,data19,302.05,308.89,"Bây giờ tôi sẽ bắt đầu nha mọi người. Yes, đầu tiên là 15 ml. Sinh ha soda.",Bây giờ tôi sẽ bắt đầu nha mọi người. Đầu tiên là 15ml Sinha Soda.
data19_60,data19,314.07,318.83,Mình đọc câu hỏi hai người cùng trả lời nhanh nha. Lần đầu hai người gặp nhau ở đâu?,Mình đọc câu hỏi 2 người cùng trả lời nhanh nha. Lần đầu 2 người gặp nhau ở đâu?
data19_61,data19,318.75,320.03,"1, 2, 3.",một hai ba.
data19_62,data19,320.03,320.55,Ở phim.,Ở phim.
data19_63,data19,320.63,321.91,Cùng gặp nhau hả?,Cùng gặp nhau hả?
data19_64,data19,321.73,323.57,Hả? Hai người gặp nhau chứ. Cùng gặp là sao?,Hai người gặp nhau chứ cùng gặp là sao?
data19_65,data19,323.61,328.31,Ý là ngọc ngọc vào anh Cường vào một khoảng khách khác. Còn anh Cường gặp ngọc vào một khoảng khách khác.,Ý là Ngọc gặp anh Cuong vào một khoảnh khắc khác. Còn anh Cuong gặp Ngọc vào một khoảnh khắc khác.
data19_66,data19,328.21,329.43,Có phải gặp anh Cường này không?,Có phải gặp anh Cuong này không?
data19_67,data19,329.48,332.68,Anh cường này. Thôi để phim đi cũng được.,Anh Cuong này. Thôi để phim đi cũng được.
data19_68,data19,333.71,335.35,À hay quá vậy sao.,Hay quá vậy sao?
data19_69,data19,334.5,338.52,Không phải gặp khác chỗ với Cường gặp em.,Em có thể gặp khác chỗ với lại Cuong gặp em.
data19_70,data19,338.12,346.84,Thì tại vì lúc đấy là ngọc vô tình nhìn thấy anh Cường thôi. Hồn chơi chắc là anh Cường nhìn thấy ngọc. Rồi một lúc khác thì kiểu hai đứa mà chạm mặt nhau thì là trong.,"Thì tại vì lúc đấy là Ngọc vô tình nhìn thấy anh Cuong thôi, còn chưa chắc là anh Cuong nhìn thấy Ngọc. Rồi một lúc khác thì kiểu hai đứa mà chạm mặt nhau thì là ở trong phim."
data19_71,data19,347.23,350.37,Cậu đang lấy cái gì đấy. Cavalo. Đúng rồi 45.,"Cuong đang lấy cái gì đấy? Cavalos. Đúng rồi, 45 mil."
data19_72,data19,350.27,352.39,Capa Dos. Khe REC 7 tới.,Cavalos. Đúng rồi.
data19_73,data19,353.39,358.39,Đi tập với cả trúng phim. Nên là hai đứa gặp nhau ở trong đấy.,Đi đi tập với cả chúng phim. Nên là hai đứa gặp nhau ở trong đấy.
data19_74,data19,359.33,361.81,Nếu mà Lập đã nhìn thấy anh Cường từ trước đến giờ.,Nhưng mà Ngọc đã nhìn thấy anh Cuong từ trước đấy rồi.
data19_75,data19,361.61,365.83,Cứ cũng nhìn thấy học anh từ trước như chưa bao giờ nói chuyện. Là bắt đầu trong phim là bắt đầu muốn nói chuyện.,Cuong cũng nhìn thấy Ngọc Anh từ trước nhưng chưa bao giờ nói chuyện. Là bắt đầu ở trong phim rồi bắt đầu mới nói chuyện.
data19_76,data19,366.15,372.41,Trong phim sau khoảng nửa tháng mới nói chuyện với nhau. Ngoài trừ những lúc phải tập thoại ra thôi còn lại là không bao giờ nói chuyện với nhau.,Trong phim sau khoảng nửa tháng mới nói chuyện với nhau. Ngoài chứ những lúc phải tập thoại ra thôi. Còn lại là không bao giờ nói chuyện với nhau.
data19_77,data19,372.31,374.48,"Chỉ nhìn thôi, bị stock thôi.","Chỉ nhìn thôi, bị stalk thôi."
data19_78,data19,374.38,378.66,Chỉ đại khái là vậy á. Chỉ quan sát thôi.,Chỉ đại khái là vậy á. Chỉ quan sát thôi.
data19_79,data19,378.26,380.91,"Còn mọi người tiếp theo, ai là người đổ trước?",Câu hỏi tiếp theo. Ai là người đổ trước?
data19_80,data19,380.93,384.49,"Trời ơi, kìa trông kìa. Ê, điều nha.","Kìa chồng kìa. Ê, Điêu nha."
data19_81,data19,386.05,387.75,"Vâng, đổ trước là đúng rồi.",Vợ đổ trước là đúng rồi.
data19_82,data19,386.95,388.05,Không biết sao vậy chứ.,Chồng nghĩ sao vậy.
data19_83,data19,387.85,390.39,Nhưng mà tình vợ trước thì chồng phải là người đổ trước.,Chồng tỏ tình vợ trước thì chồng phải là người đổ trước.
data19_84,data19,390.25,391.09,Tò tin lúc nào.,Tỏ tình lúc nào?
data19_85,data19,393.27,397.49,Khi mà đã là chồng rồi thì nó khác lắm bạn ạ. Bạn có tỉ như tỉ không?,Thấy không? Khi mà đã là chồng rồi thì nó khác lắm bạn ạ. Bạn có thấy như thế không?
data19_86,data19,397.95,399.01,Còn tí nữa sao?,Tỏ tình lúc nào?
data19_87,data19,418.24,423.45,"Thì nghĩ là chưa có lần mà tỏ tình chính thức nhỉ, đúng không?",Hình như là chưa có lần mà tỏ tình chính thức nhờ? Đúng không?
data19_88,data19,423.96,426.5,Mình chưa có lần nào mình tỏ thành chính thức cái sao.,Mình là chưa có lần nào mình tỏ tình chính thức hay sao ấy.
data19_89,data19,426.4,428.86,Có mà trong tòa tình vợ một lần rồi.,"Có mà, chồng tỏ tình vợ một lần rồi."
data19_90,data19,428.98,430.42,Nói câu nào mà tỏ tình.,Nói câu nào mà tỏ tình?
data19_91,data19,430.36,431.84,Là mạnh dạn nhé.,Làm bạn gái anh nhé.
data19_92,data19,432.88,433.5,Có à.,Có à?
data19_93,data19,433.5,435.22,Đập trùng phá bây giờ.,Đập chồng một phát bây giờ đây.
data19_94,data19,435.86,437.44,Đang tập thoại phim á à.,Đang tập thoại phim mà.
data19_95,data19,438.74,440.66,Như vậy là. Ngọc anh đổ trước.,Như vậy là Ngọc Anh đổ trước.
data19_96,data19,440.66,448.53,"Chả biết nữa thôi, cả hai đứa đổ vào nhau đi ha. Cắt bản là bọn ngọc lúc đấy là kiểu như là muốn để cho mọi thứ nó tự nhiên.","Chả biết nữa thôi, cả hai đứa đổ vào nhau đi ha. Căng bản là bọn Ngọc lúc đấy là kiểu như là muốn để cho mọi thứ nó tự nhiên ấy."
data19_97,data19,448.43,452.85,"Thì cứ giáp vào nhau, ở bên cạnh nhau đến tận giờ này không hay luôn.",Thì cứ ráp vào nhau rồi ở bên cạnh nhau đến tận giờ này không hay luôn á.
data19_98,data19,452.75,455.61,"Nào từ từ, hai người yêu nhau bao nhiêu trăm thì cưới.",Nào từ từ hai người yêu nhau bao nhiêu năm thì cưới.
data19_99,data19,455.8,456.43,Tạm nằm.,8 năm.
data19_100,data19,456.41,458.39,Bài lắm và cưới.,Bảy năm rồi cưới.
data19_101,data19,458.39,459.76,À ở bảy năm mở cưới.,À ừ 7 năm rồi cưới.
data19_102,data19,459.95,461.07,Trời ơi.,Trời ơi.
data19_103,data19,461.79,466.63,Bọn tớ yêu nhau chắc chưa được 12 tháng.,Bọn tớ yêu nhau chắc chưa được 12 tháng.
data19_104,data19,466.63,475.67,Wow. Nhưng đôi khi nó là định mệnh. Đúng rồi. Ít hay nhiều thời gian nó không quan trọng. Tự dưng mình cảm nhận. À đây đúng là người bạn đời của mình rồi mình muốn cưới.,Wow. Nhưng đôi khi nó là định mệnh. Đúng rồi. Ít hay nhiều thời gian không quan trọng. Tự dưng mình cảm nhận. À đây đúng là người bạn đời của mình. Rồi mình muốn cưới họ.
data19_105,data19,475.67,476.83,Thì đấy mới là điều quan trọng.,Cái đấy mới là điều quan trọng.
data19_106,data19,477.89,483.15,Đúng không? Không phải ai mình cũng có cái cảm xúc đấy đâu. Không phải ai mình cũng có cảm giác là muốn điều đấy đâu.,"Đúng không, không phải ai mình cũng có cái cảm xúc đấy đâu. Không phải ai mình cũng có cái cảm giác là muốn điều đấy đâu."
data19_107,data19,478.25,481.14,Không phải ai mình cũng có cái cảm xúc đấy đâu.,"Phải tìm được đúng người, chính xác."
data19_108,data19,483.17,485.11,Muộn hay sớm nó không quan trọng hẳn đúng.,Muộn hay sớm nó không quan trọng bằng đúng.
data19_109,data19,485.11,485.79,Đúng.,Đúng.
data19_110,data19,485.93,488.65,Ôi chết rồi. Đã có gì đó.,Ôi chết rồi. Đã có gì đó.
data19_111,data19,489.61,491.19,Không sao không sao bạn ơi.,Không sao không sao bạn ơi.
data19_112,data19,490.91,492.69,Quên mất là không được đá.,Quên mất là không được đá.
data19_113,data19,494.17,497.65,Bạn ơi thông cảm ở nhà chồng tớ là biết là.,Bạn ơi thông cảm ở nhà. Chồng tớ là biết làm.
data19_114,data19,497.65,502.06,Không nhưng mà ly này sẽ là một ly rất là ngon. Tôi nghĩ vậy.,Ôi không nhưng mà ly này sẽ là một ly rất là ngon. Tớ nghĩ vậy.
data19_115,data19,503.22,505.12,Cái đi sau tới còn sợ nữa.,Thế vì sau tớ còn sợ nữa.
data19_116,data19,505.12,507.92,"Không, ngọc Anh có thể, ngọc Anh phát.","Không, Ngọc Anh có thể, Ngọc Anh pha."
data19_117,data19,508.02,514.1,"Ở nhà có sữa biết pha nước chanh và tràng trứng bác ạ. Đấy, 2 món.","Ở nhà chồng tớ biết pha nước chanh và trắng trứng bạn ạ. Đấy, hai món."
data19_118,data19,514.4,516.17,Chúc mừng.,Chúc mừng.
data19_119,data19,518.79,522.12,Ui vừa đủ đây. Đủ không? Đây.,"Uầy, vừa đủ này. Đúng không?"
data19_120,data19,523.22,526.26,Thế bình đã làm xong ly rượu trong 15 giây.,Thế mình đã làm xong ly rượu trong 15 giây.
data19_121,data19,531.59,535.69,Nãy giờ là mình làm khó bạn mà bạn vẫn vượt qua được thử thách. Thử đi.,Nãy giờ là mình làm khó bạn mà bạn vẫn vừa qua được thử thách. Thử đi.
data19_122,data19,535.41,538.43,"Bạn, bạn, bạn. Sổ bạch trước đi.","Bạn bạn bạn, chuột mạch trước đi."
data19_123,data19,538.76,539.66,Mời bạn.,Mời bạn.
data19_124,data19,541.29,543.69,"Dù đúng, dù sai nó vẫn ra được kết quả.",Dù đúng dù sai nó vẫn ra được kết quả.
data19_125,data19,547.49,554.67,"Vẫn nghe mùi táo, vẫn có ga, chua ngọt, có một tí nồng xay nhẹ nha.","Vẫn nghe mùi táo, vẫn có gas chua ngọt, có một tí nồng xay nhẹ nha."
data19_126,data19,554.61,556.06,Tại sao nhiều tiểu hơn tí xíu?,Tôi cho nhiều rượu hơn tí xíu.
data19_127,data19,556.06,561.18,"Ồ, đồng phá công thức. Nhưng mà rất là đậm đà.","Ồ, đột phá công thức, nhưng mà rất là đậm đà."
data19_128,data19,561.43,564.99,Đây là ly cocktail đầu tiên dòng pha cho vợ.,Đây là ly cocktail đầu tiên chồng pha cho vợ đấy.
data19_129,data19,565.86,567.5,Battender là cũng ok đấy.,Bartender là cũng ok đấy nha.
data19_130,data19,570.65,572.05,Ok rồi.,Ok đấy chồng.
data19_131,data19,572.65,573.81,Nó đậm đà.,Nó đậm đà.
data19_132,data19,573.41,577.27,Cháu hãy nhớ công thức này về tụi Nhâm Nhi với nhau nha.,Chồng hãy nhớ công thức này về tối nhâm nhi với nhau nhé.
data19_133,data19,583.42,590.9,Đạt điểm. Tại bây giờ Ngọc Anh sẽ là người. Và Crystal Petal. Với sự hỗ trợ của Cường.,"Đạt điểm. Bây giờ, Ngọc Anh sẽ là người pha Crystal Petal. Với sự hỗ trợ của Cuong."
data19_134,data19,590.2,595.2,Ok crystal pearl. Lý ly đá đựng sẵn. Ly đá là ly nào?,"Ok, Crystal Petal. Lấy ly đá đựng sẵn. Ly đá là ly nào?"
data19_135,data19,595.12,596.92,"Đây, ly đá của Ngọc Anh ở dưới đây.","Đây, ly đá của Ngọc Anh ở dưới đây."
data19_136,data19,600.85,603.25,"Anh này là phải đọc nha, phải đọc kịch bản.","Ngọc Anh này là phải đọc nha, phải đọc kịch bản."
data19_137,data19,603.25,608.75,Rót ni tơ lỏng vào trong ly với khối lượng vừa. Cái này vặn ra như thế nào vậy ạ?,Rốt ni tơ lỏng vào trong ly với khối lượng vừa. Cái này vặn ra như nào bạn?
data19_138,data19,608.59,609.93,Cái này không phải lito.,Cái này không phải ni tơ.
data19_139,data19,611.07,611.93,Nhìn coi đây.,Ni tơ đây.
data19_140,data19,612.47,616.47,"Nito đây, đúng kiểu mình Nito.",Ni tơ đây. Đúng kiểu bình ni tơ luôn.
data19_141,data19,619.77,621.35,Thế này nó có làm gì không?,Đây nó có làm gì không?
data19_142,data19,621.51,623.98,Mình chỉ cần mở thôi.,Mình chỉ cần mở thôi.
data19_143,data19,624.08,625.5,Đây đây đây.,Đây đây đây.
data19_144,data19,628.31,634.51,"Rồi nha, Nito này gió với khối lượng vừa. Khối lượng vừa là khối lượng bao nhiêu?",Rồi nha ni tơ này. rót với khối lượng vừa. Khối lượng vừa là khối lượng bao nhiêu à?
data19_145,data19,643.11,644.29,Đủ rồi.,Đủ rồi.
data19_146,data19,644.17,647.43,"Rồi, viết vô lại xong phần ni tơ lõng rồi.","Rồi, nhét vô lại xong phần ni tơ lỏng rồi."
data19_147,data19,647.98,653.94,Rồi 15 mil. Rô Cô Gin rất chậm. 15 mil.,"Rồi, 15 mil. Rokujin, rốt chậm 15 mil."
data19_148,data19,653.64,655.08,Biết 15-15 độ đo nào không?,Biết 15 mil đo như nào không?
data19_149,data19,655.1,656.06,15 new.,15 mil.
data19_150,data19,657.06,658.56,Mình phải đo.,Mình phải đo.
data19_151,data19,662.01,663.67,Chắc chắn là 15 luôn.,Chắc chắn là 15 luôn.
data19_152,data19,664.49,666.08,"12, chưa đủ đúng không?",12 chưa đủ thấy không.
data19_153,data19,668.42,672.04,"Ê, bình thường, bình thường 20 luôn được không?",Mình cho 20 luôn được không?
data19_154,data19,672.67,674.07,Em 16 mất rồi.,Ê 16 mất rồi.
data19_155,data19,674.07,675.03,Cường giúp nha.,Cuong giúp nha.
data19_156,data19,674.89,675.76,Giúp em.,Không giúp không giúp.
data19_157,data19,675.75,676.85,Nhược đi.,Giúp đi.
data19_158,data19,676.83,678.71,Ôi rồi chết rồi rơi vào.,Thôi ôi thôi chết rồi rơi vào.
data19_159,data19,680.14,682.74,Rồi mất nắp. Thay tiếp. Không sao gửi à.,Rơi mất nắp chai rượu mọi người à.
data19_160,data19,685.28,690.28,"Trong khi đó, chúng ta cùng trả lời câu hỏi. Mở màn chỉ đẹp của anh mặc đồ màu gì.",Trong khi đó chúng ta cùng trả lời câu hỏi. Mở màng chị đẹp vũ ngọc anh mặc đồ màu gì?
data19_161,data19,690.23,691.17,"2, 3.",Màu đỏ
data19_162,data19,690.23,691.17,"2, 3.",Một hai ba.
data19_163,data19,694.47,700.3,Trái tim tôi vụn vỡ và là sai rồi. Thế mà mở mang cho là chào.,Trái tim tôi vụn vỡ bạn ạ. Sai rồi. Tiết mục mở màng cơ mà chồng.
data19_164,data19,700.29,701.26,Solo đúng không?,Solo đúng không?
data19_165,data19,701.62,702.96,Solo hay là...,Solo hay là.
data19_166,data19,702.84,704.28,Slow là một màn đấy.,Solo là mở mảng ấy.
data19_167,data19,704.36,707.58,Là tập đầu tiên đi bảo xuất hiện solo là gì?,Là tập đầu tiên vợ xuất hiện solo là gì?
data19_168,data19,707.38,713.09,Vợ nhớ nhầm trong concert đúng hơn màu đỏ ạ. Sorry ạ. Tốt tập trung vào đây. 10 sec.,"Vợ nhớ nhầm trong concert đúng là màu đỏ ạ, Sorry ạ, bớt tập trung vào đây."
data19_169,data19,715.16,716.82,Ôi bây giờ là 28 luôn à.,"Ôi, bây giờ là 28 luôn à."
data19_170,data19,718.81,720.07,B37.,Lên 37.
data19_171,data19,721.15,722.73,"Không sao, chỉ có xây hên thôi.","Không sao, chỉ có say hơn thôi."
data19_172,data19,723.21,729.41,Cái gì thì đổ. Tụi chậm thành đổ nhanh lý sao không ạ. Watermelon đây à.,"Nó thì nó thì nổ chậm và thành nổ nhanh hay sao bạn ạ. Watermelon đây ạ, đây."
data19_173,data19,729.35,730.09,Chính xác.,Chính xác.
data19_174,data19,731.15,735.07,Rớt đầy ly 50ml. 50ml thôi mình đong ra đi ha.,"Rót đầy ly 50ml, 50ml thôi mình đong ra đây đi ha."
data19_175,data19,736.3,739.72,Nhưng mà đang ở đây đi trường học cũng không biết 50 mu mà cho vào kênh.,"Nhưng mà đong ở đây đi chứ, Ngọc cũng không biết 50ml mà cho vào cái..."
data19_176,data19,775.25,780.53,Và bây giờ chúng ta phải bỏ vào trong bình xếc cơ lắc và cho đá hồi trước đi.,Và bây giờ chúng ta phải bỏ vào trong bình shaker lắc. Và cho đá vào trước đi.
